StudentID,CourseID,Semester,Grade,GradePoint,AssignmentScore,ExamScore
S002,C212,2,B+,3.3,28.8,41.5
S002,C211,3,B,3.0,30.8,34.5
S002,C202,3,A,4.0,15.7,69.5
S002,C208,3,A,4.0,43.7,38.1
S002,C223,3,F,0.0,10.5,2.4
S002,C201,4,B,3.0,23.2,45.0
S002,C247,4,A,4.0,27.5,57.7
S002,C207,4,B,3.0,26.1,41.3
S002,C219,4,A-,3.7,27.4,48.6
S002,C218,4,A,4.0,34.7,50.2
S004,C219,1,C+,2.3,21.7,35.9
S004,C222,1,A,4.0,26.8,54.2
S004,C221,1,A-,3.7,32.8,43.1
S004,C211,1,A,4.0,50.9,41.5
S004,C245,1,B,3.0,28.5,37.4
S004,C206,1,B+,3.3,23.7,50.7
S004,C220,2,B+,3.3,12.7,62.0
S004,C248,2,B+,3.3,29.9,42.7
S004,C212,2,B+,3.3,24.6,48.1
S004,C219,2,F,0.0,1.5,19.6
S004,C208,2,A,4.0,51.1,44.7
S004,C236,3,C+,2.3,18.3,41.6
S004,C247,3,A,4.0,21.8,65.8
S004,C202,3,B,3.0,11.9,56.9
S004,C245,3,A-,3.7,43.0,35.6
S004,C226,3,A,4.0,47.3,38.0
S004,C250,3,A,4.0,45.7,48.1
S004,C207,4,A,4.0,35.8,48.0
S004,C244,4,A,4.0,46.3,39.6
S004,C236,4,B+,3.3,20.4,54.0
S004,C218,4,B+,3.3,33.8,41.0
S004,C219,4,B+,3.3,31.1,41.4
S004,C238,4,B+,3.3,32.9,38.4
S004,C231,5,B,3.0,22.4,45.0
S004,C224,5,A,4.0,35.0,50.8
S004,C219,5,B,3.0,32.4,33.6
S004,C248,5,B-,2.7,23.4,39.1
S004,C241,5,A,4.0,25.9,55.2
S004,C242,6,A,4.0,26.3,66.7
S004,C245,6,F,0.0,18.2,19.2
S004,C232,6,A,4.0,28.2,54.7
S004,C238,6,B,3.0,44.2,24.1
S004,C227,7,A,4.0,25.5,61.4
S004,C201,7,A,4.0,29.8,54.8
S004,C211,7,B,3.0,30.4,38.1
S004,C239,7,A,4.0,27.6,52.6
S004,C210,8,A-,3.7,22.4,54.8
S004,C244,8,B+,3.3,35.4,36.1
S004,C222,8,F,0.0,3.6,4.3
S004,C201,8,B-,2.7,18.4,45.2
S004,C214,8,A,4.0,38.3,46.5
S005,C223,1,B,3.0,40.4,28.4
S005,C240,1,A,4.0,45.5,45.2
S005,C201,1,B+,3.3,17.2,53.7
S005,C207,1,A-,3.7,37.2,41.7
S005,C248,2,B+,3.3,31.8,40.8
S005,C241,2,A,4.0,16.3,64.8
S005,C242,2,A-,3.7,30.4,45.6
S005,C218,2,A,4.0,33.8,46.5
S005,C244,2,A,4.0,49.9,45.4
S005,C220,2,B+,3.3,17.8,52.5
S005,C206,3,A,4.0,26.6,60.8
S005,C241,3,A-,3.7,25.3,51.0
S005,C201,3,C+,2.3,19.2,38.8
S005,C231,3,A-,3.7,26.8,51.6
S005,C205,4,A-,3.7,32.5,47.2
S005,C215,4,B+,3.3,29.3,44.2
S005,C235,4,A-,3.7,19.4,59.3
S005,C242,4,A,4.0,21.1,64.5
S005,C208,4,A,4.0,41.3,41.9
S006,C226,1,F,0.0,22.6,15.0
S006,C219,1,A,4.0,30.8,59.6
S006,C217,1,A,4.0,55.6,35.2
S006,C231,1,A-,3.7,19.4,59.8
S006,C222,2,A-,3.7,32.7,46.0
S006,C225,2,A,4.0,31.6,53.1
S006,C215,2,A-,3.7,24.1,55.4
S006,C241,2,A-,3.7,20.7,57.7
S006,C238,2,B+,3.3,42.0,29.6
S006,C213,2,A,4.0,50.4,29.9
S007,C224,1,B+,3.3,36.6,38.2
S007,C245,1,F,0.0,2.5,16.2
S007,C240,1,A,4.0,47.0,49.7
S007,C237,1,B,3.0,26.1,42.3
S007,C238,1,F,0.0,19.2,1.4
S007,C201,2,B+,3.3,25.0,47.1
S007,C214,2,A-,3.7,37.3,39.6
S007,C238,2,A,4.0,51.3,37.1
S007,C234,2,B,3.0,44.3,24.6
S007,C246,2,B,3.0,33.5,32.6
S007,C207,3,F,0.0,4.7,25.0
S007,C246,3,A,4.0,50.3,34.8
S007,C241,3,B+,3.3,16.5,58.3
S007,C209,3,A,4.0,34.9,54.2
S007,C211,3,A,4.0,40.4,39.7
S007,C243,4,A-,3.7,20.4,58.5
S007,C214,4,A-,3.7,46.1,31.3
S007,C222,4,F,0.0,7.8,12.3
S007,C237,4,B+,3.3,23.3,50.5
S007,C203,4,A,4.0,42.8,39.7
S008,C208,1,A-,3.7,34.1,42.6
S008,C221,1,F,0.0,7.4,20.2
S008,C230,1,B,3.0,33.4,36.1
S008,C202,1,B,3.0,16.1,50.4
S008,C228,1,B+,3.3,39.9,33.5
S008,C220,2,B-,2.7,11.5,50.6
S008,C211,2,A-,3.7,42.9,32.3
S008,C212,2,F,0.0,17.9,8.0
S008,C207,2,B-,2.7,22.7,40.0
S009,C245,1,A-,3.7,39.0,37.0
S009,C250,1,A-,3.7,27.5,51.5
S009,C248,1,A,4.0,33.6,59.4
S009,C202,1,A,4.0,13.3,75.1
S009,C246,1,A,4.0,49.7,38.6
S009,C236,1,A,4.0,22.9,58.6
S009,C219,2,F,0.0,14.5,15.8
S009,C248,2,B,3.0,28.8,38.1
S009,C247,2,A,4.0,22.7,68.8
S009,C232,2,B+,3.3,21.8,49.5
S009,C226,2,A,4.0,53.7,30.6
S009,C245,3,F,0.0,13.6,20.7
S009,C224,3,B,3.0,34.6,33.1
S009,C236,3,A,4.0,24.6,62.2
S009,C219,3,A-,3.7,30.4,46.4
S009,C211,3,B+,3.3,43.9,27.3
S009,C206,3,A,4.0,24.8,59.1
S009,C215,4,B,3.0,23.6,44.3
S009,C218,4,A,4.0,35.8,47.5
S009,C237,4,A,4.0,39.8,53.6
S009,C231,4,F,0.0,8.4,24.6
S009,C210,4,B-,2.7,16.5,45.8
S009,C241,5,B,3.0,21.4,44.6
S009,C239,5,A,4.0,32.6,49.2
S009,C250,5,C+,2.3,27.6,29.7
S009,C217,5,A-,3.7,38.8,36.6
S009,C222,6,B+,3.3,28.8,42.1
S009,C223,6,A,4.0,55.4,40.7
S009,C205,6,B+,3.3,27.9,43.8
S009,C216,6,A-,3.7,27.3,48.8
S009,C201,6,A,4.0,27.7,65.6
S009,C247,6,A,4.0,26.4,56.9
S010,C250,1,A,4.0,29.3,52.1
S010,C207,1,F,0.0,2.4,22.3
S010,C230,1,A,4.0,56.0,39.2
S010,C222,1,A-,3.7,30.8,46.2
S010,C220,2,F,0.0,0.8,29.4
S010,C225,2,F,0.0,0.8,24.4
S010,C208,2,A,4.0,35.1,45.4
S010,C214,2,A-,3.7,49.9,28.6
S011,C228,1,F,0.0,13.5,18.4
S011,C210,1,A,4.0,23.5,73.2
S011,C248,1,A,4.0,31.7,53.2
S011,C216,1,A,4.0,26.6,60.3
S011,C221,1,B,3.0,20.4,49.3
S011,C236,2,A-,3.7,25.9,53.7
S011,C210,2,B,3.0,15.5,51.4
S011,C242,2,F,0.0,12.3,19.6
S011,C226,2,A,4.0,46.9,34.7
S011,C226,3,F,0.0,22.4,4.2
S011,C240,3,A,4.0,45.1,39.7
S011,C207,3,B,3.0,22.5,43.0
S011,C232,3,A,4.0,24.8,66.2
S011,C237,3,A,4.0,34.4,46.6
S011,C247,3,B,3.0,18.1,49.5
S011,C205,4,A,4.0,29.6,51.8
S011,C237,4,A,4.0,32.3,52.3
S011,C244,4,A-,3.7,43.0,33.6
S011,C222,4,B,3.0,26.7,42.6
S011,C246,4,A-,3.7,47.6,30.4
S011,C238,5,A-,3.7,46.9,30.8
S011,C222,5,A,4.0,22.6,59.7
S011,C210,5,A,4.0,17.6,72.1
S011,C231,5,B+,3.3,22.4,49.8
S011,C227,5,F,0.0,10.2,18.5
S011,C247,6,A,4.0,25.5,64.7
S011,C207,6,B-,2.7,24.0,39.2
S011,C229,6,A,4.0,51.6,33.2
S011,C225,6,B-,2.7,25.4,36.0
S012,C238,1,B+,3.3,32.7,40.1
S012,C236,1,A,4.0,19.5,72.1
S012,C241,1,B,3.0,20.8,48.8
S012,C227,1,A,4.0,30.4,58.0
S012,C220,2,A,4.0,18.8,70.2
S012,C204,2,B+,3.3,42.7,27.4
S012,C205,2,A,4.0,42.4,41.5
S012,C231,2,A,4.0,21.0,59.1
S012,C224,3,F,0.0,16.0,21.6
S012,C221,3,A,4.0,29.6,51.1
S012,C238,3,B,3.0,40.3,28.1
S012,C201,3,A,4.0,29.5,60.2
S012,C216,3,B,3.0,19.9,48.2
S012,C230,3,D,1.0,25.5,16.6
S012,C220,4,A-,3.7,14.7,64.2
S012,C222,4,A,4.0,28.7,61.1
S012,C212,4,A,4.0,28.9,55.9
S012,C208,4,A-,3.7,38.1,37.8
S013,C236,1,A,4.0,23.9,60.6
S013,C209,1,C+,2.3,20.7,39.2
S013,C206,1,D,1.0,12.5,31.3
S013,C211,1,A,4.0,39.7,44.3
S013,C228,1,A,4.0,33.5,52.0
S013,C247,1,C+,2.3,17.1,42.4
S013,C213,2,F,0.0,5.5,8.3
S013,C238,2,A-,3.7,49.6,27.8
S013,C219,2,F,0.0,2.5,0.6
S013,C237,2,B+,3.3,24.9,47.9
S013,C220,2,A-,3.7,14.0,62.1
S013,C226,3,A,4.0,46.6,35.7
S013,C210,3,B,3.0,14.1,51.6
S013,C224,3,B+,3.3,27.7,45.9
S013,C208,3,A-,3.7,38.7,40.5
S013,C239,3,B+,3.3,28.5,42.8
S013,C241,3,A,4.0,26.8,71.2
S013,C204,4,F,0.0,2.9,18.1
S013,C203,4,F,0.0,6.2,5.4
S013,C238,4,A,4.0,47.8,35.4
S013,C214,4,A,4.0,37.6,45.4
S013,C247,4,A,4.0,17.6,67.0
S013,C211,5,B+,3.3,42.8,29.2
S013,C201,5,B,3.0,17.2,51.1
S013,C232,5,F,0.0,3.7,25.9
S013,C202,5,C+,2.3,15.2,44.3
S013,C218,6,F,0.0,13.5,5.7
S013,C231,6,B+,3.3,17.5,55.0
S013,C234,6,A,4.0,54.2,27.0
S013,C212,6,F,0.0,16.7,0.2
S013,C236,6,A,4.0,17.3,68.2
S014,C232,1,B,3.0,19.2,45.9
S014,C210,1,B,3.0,16.7,48.4
S014,C209,1,F,0.0,3.0,13.5
S014,C247,1,F,0.0,0.5,7.9
S014,C238,2,C+,2.3,32.8,24.4
S014,C204,2,B,3.0,42.0,24.7
S014,C219,2,F,0.0,0.3,24.6
S014,C226,2,A-,3.7,49.7,26.8
S014,C242,2,A,4.0,29.3,59.2
S014,C247,2,B+,3.3,30.3,43.9
S015,C226,1,B+,3.3,50.3,24.5
S015,C219,1,F,0.0,15.7,2.0
S015,C231,1,A,4.0,25.8,60.5
S015,C238,1,A-,3.7,35.8,39.9
S015,C228,1,A,4.0,37.4,50.6
S015,C220,2,A,4.0,19.4,71.0
S015,C244,2,A-,3.7,39.3,38.0
S015,C223,2,A-,3.7,39.9,38.6
S015,C218,2,F,0.0,12.9,14.0
S015,C205,2,A,4.0,41.7,40.5
S015,C247,2,A-,3.7,19.7,59.9
S016,C211,1,B+,3.3,33.7,36.7
S016,C238,1,B-,2.7,32.6,30.7
S016,C226,1,C+,2.3,37.6,22.3
S016,C246,1,B-,2.7,37.4,27.2
S016,C239,1,A,4.0,34.1,46.3
S016,C221,1,A,4.0,30.4,60.9
S016,C214,2,A-,3.7,41.0,35.7
S016,C231,2,C+,2.3,17.9,40.7
S016,C218,2,F,0.0,14.8,12.6
S016,C238,2,B,3.0,42.0,25.9
S016,C234,2,A-,3.7,41.4,37.0
S016,C231,3,B,3.0,25.8,42.0
S016,C223,3,F,0.0,5.5,10.4
S016,C222,3,F,0.0,13.5,20.6
S016,C237,3,F,0.0,8.9,5.0
S016,C242,4,B,3.0,21.5,45.1
S016,C201,4,B+,3.3,23.2,48.8
S016,C216,4,A,4.0,32.5,50.3
S016,C248,4,F,0.0,5.9,9.8
S017,C231,1,F,0.0,5.8,22.5
S017,C202,1,A-,3.7,16.1,62.6
S017,C211,1,A-,3.7,33.0,43.7
S017,C210,1,A,4.0,20.9,66.3
S017,C248,2,A-,3.7,37.0,41.3
S017,C225,2,A,4.0,39.1,56.0
S017,C231,2,C+,2.3,15.5,40.4
S017,C203,2,B-,2.7,33.0,29.9
S017,C246,2,B+,3.3,32.6,38.1
S017,C236,2,A-,3.7,25.9,52.9
S017,C247,3,A,4.0,29.1,61.2
S017,C210,3,A-,3.7,14.6,64.9
S017,C219,3,B-,2.7,22.3,40.3
S017,C209,3,B,3.0,20.2,46.5
S017,C226,3,A,4.0,58.2,26.1
S017,C237,3,B+,3.3,25.1,49.2
S017,C241,4,A,4.0,17.6,63.6
S017,C246,4,B+,3.3,50.0,24.8
S017,C212,4,F,0.0,12.5,18.0
S017,C205,4,A,4.0,40.0,42.9
S017,C248,4,B+,3.3,35.1,38.2
S018,C222,1,A,4.0,30.0,62.4
S018,C233,1,A,4.0,37.4,50.6
S018,C219,1,B,3.0,25.2,41.8
S018,C240,1,B+,3.3,32.4,42.2
S018,C243,2,F,0.0,7.3,8.8
S018,C234,2,A,4.0,52.5,31.9
S018,C232,2,A,4.0,27.0,53.5
S018,C236,2,A-,3.7,25.7,50.4
S018,C220,2,A-,3.7,19.8,59.5
S018,C219,3,A,4.0,29.0,54.9
S018,C210,3,B+,3.3,23.4,49.8
S018,C232,3,A-,3.7,21.9,57.1
S018,C228,3,A-,3.7,34.9,41.2
S018,C236,3,B,3.0,20.5,46.2
S018,C245,3,B+,3.3,34.0,40.8
S018,C229,4,F,0.0,6.7,15.2
S018,C245,4,B+,3.3,27.7,43.8
S018,C214,4,A-,3.7,48.3,29.8
S018,C249,4,A-,3.7,47.3,32.1
S018,C211,4,F,0.0,9.8,1.5
S018,C234,4,A,4.0,58.1,35.3
S018,C228,5,A-,3.7,28.0,49.3
S018,C208,5,A-,3.7,32.1,46.0
S018,C241,5,F,0.0,10.0,6.3
S018,C237,5,F,0.0,14.1,23.8
S018,C202,5,A,4.0,20.8,60.3
S018,C248,6,F,0.0,16.3,0.3
S018,C247,6,A,4.0,28.1,64.4
S018,C242,6,B,3.0,31.9,37.2
S018,C215,6,B,3.0,26.3,41.8
S018,C238,6,A,4.0,58.4,36.0
S019,C216,1,B-,2.7,21.8,42.4
S019,C224,1,A,4.0,46.4,39.9
S019,C219,1,A-,3.7,25.8,53.1
S019,C233,1,A-,3.7,32.9,44.0
S019,C238,1,A,4.0,57.3,28.4
S019,C202,1,B+,3.3,15.6,56.1
S019,C243,2,A,4.0,19.0,63.3
S019,C238,2,F,0.0,15.7,2.6
S019,C237,2,A,4.0,40.7,52.9
S019,C201,2,F,0.0,6.4,3.2
S019,C236,2,A,4.0,24.9,68.7
S019,C207,3,A,4.0,36.6,58.3
S019,C227,3,A,4.0,31.5,63.7
S019,C219,3,A,4.0,32.4,56.6
S019,C209,3,A,4.0,28.3,59.0
S019,C236,3,F,0.0,9.6,30.2
S019,C217,3,A,4.0,54.7,31.9
S019,C243,4,F,0.0,9.3,26.3
S019,C231,4,B+,3.3,18.0,53.1
S019,C232,4,A,4.0,24.5,61.3
S019,C215,4,B,3.0,22.9,43.8
S019,C210,4,B+,3.3,16.7,56.5
S019,C213,4,A,4.0,54.2,32.2
S019,C202,5,F,0.0,5.2,14.6
S019,C223,5,A,4.0,53.9,26.9
S019,C210,5,B-,2.7,16.3,47.8
S019,C245,5,B+,3.3,39.8,34.5
S019,C211,5,A,4.0,48.9,33.3
S019,C223,6,B+,3.3,40.0,34.6
S019,C235,6,B+,3.3,21.2,50.7
S019,C234,6,A,4.0,48.3,33.5
S019,C208,6,F,0.0,16.0,18.5
S019,C207,6,A,4.0,38.8,58.0
S020,C240,1,B+,3.3,29.0,45.5
S020,C247,1,A-,3.7,17.1,62.9
S020,C246,1,F,0.0,21.0,9.5
S020,C208,1,A,4.0,43.2,37.2
S020,C228,1,F,0.0,7.3,14.2
S020,C237,2,B-,2.7,28.6,32.3
S020,C231,2,B,3.0,16.5,48.6
S020,C248,2,A,4.0,32.4,57.9
S020,C235,2,A,4.0,23.6,65.2
S020,C211,2,F,0.0,16.3,13.2
S020,C238,2,F,0.0,14.4,15.6
S020,C233,3,F,0.0,1.3,20.7
S020,C219,3,B-,2.7,26.3,34.3
S020,C209,3,A,4.0,29.0,52.6
S020,C230,3,A,4.0,46.4,38.2
S020,C237,3,F,0.0,16.9,7.9
S020,C225,4,B,3.0,34.3,34.0
S020,C215,4,F,0.0,6.0,12.9
S020,C213,4,B+,3.3,48.5,26.3
S020,C229,4,A,4.0,51.4,44.7
S020,C243,4,B+,3.3,13.7,57.9
S020,C234,4,A,4.0,49.5,33.9
S020,C201,5,A,4.0,28.2,55.0
S020,C208,5,A-,3.7,42.2,37.2
S020,C224,5,F,0.0,3.8,0.5
S020,C228,5,B-,2.7,27.4,34.7
S020,C231,6,F,0.0,6.8,5.7
S020,C232,6,B,3.0,25.4,39.9
S020,C214,6,A,4.0,47.8,33.9
S020,C204,6,B+,3.3,38.6,31.5
S020,C208,6,A-,3.7,40.4,36.9
S021,C236,1,B,3.0,20.3,46.6
S021,C219,1,B,3.0,24.1,43.8
S021,C217,1,F,0.0,8.6,1.2
S021,C238,1,F,0.0,3.1,6.2
S021,C224,1,A-,3.7,26.5,50.9
S021,C239,1,B+,3.3,36.7,35.2
S021,C241,2,A-,3.7,26.4,49.5
S021,C232,2,A,4.0,25.2,57.8
S021,C238,2,B+,3.3,33.5,40.2
S021,C249,2,A,4.0,53.8,27.7
S022,C236,1,B,3.0,16.7,51.4
S022,C202,1,B,3.0,14.0,51.8
S022,C223,1,A-,3.7,37.4,40.0
S022,C241,1,B+,3.3,16.6,56.7
S022,C209,1,B+,3.3,34.7,39.3
S022,C237,1,A-,3.7,40.7,35.0
S022,C247,2,A,4.0,28.2,68.3
S022,C211,2,B-,2.7,33.3,31.5
S022,C245,2,F,0.0,16.6,19.7
S022,C237,2,F,0.0,14.1,16.1
S022,C224,3,A,4.0,42.4,47.3
S022,C246,3,A,4.0,51.1,29.1
S022,C217,3,A,4.0,52.7,33.4
S022,C206,3,A-,3.7,18.9,56.8
S022,C241,4,B,3.0,26.8,40.9
S022,C210,4,A,4.0,20.5,73.5
S022,C231,4,A-,3.7,25.1,53.8
S022,C201,4,B,3.0,29.2,39.0
S022,C225,4,A,4.0,37.9,52.7
S022,C238,4,A,4.0,58.5,30.3
S022,C211,5,B+,3.3,33.3,41.7
S022,C207,5,A,4.0,27.9,57.7
S022,C230,5,A,4.0,58.7,39.2
S022,C210,5,A,4.0,24.0,75.0
S022,C222,6,B,3.0,25.4,42.4
S022,C218,6,B+,3.3,27.3,45.8
S022,C229,6,A-,3.7,53.5,26.0
S022,C246,6,F,0.0,23.8,3.2
S022,C201,6,A,4.0,24.6,62.6
S022,C241,6,A-,3.7,16.4,61.1
S022,C221,7,B+,3.3,30.3,43.2
S022,C209,7,B-,2.7,22.2,41.1
S022,C201,7,A,4.0,22.1,58.9
S022,C228,7,F,0.0,1.1,2.8
S022,C250,7,A,4.0,43.6,43.6
S022,C225,8,B+,3.3,24.8,47.1
S022,C207,8,B+,3.3,21.5,52.7
S022,C247,8,A,4.0,23.8,68.8
S022,C229,8,F,0.0,20.3,7.6
S022,C203,8,A,4.0,31.0,49.3
S022,C204,8,A,4.0,48.0,36.5
S023,C211,1,F,0.0,18.0,19.1
S023,C221,1,B+,3.3,27.9,42.6
S023,C227,1,F,0.0,10.9,12.0
S023,C236,1,B,3.0,21.1,44.6
S023,C231,2,A,4.0,24.9,63.1
S023,C235,2,A,4.0,16.7,69.5
S023,C201,2,A,4.0,18.8,62.0
S023,C229,2,A,4.0,43.0,42.5
S023,C215,2,B+,3.3,30.2,40.6
S023,C250,3,F,0.0,17.9,14.0
S023,C230,3,B-,2.7,40.0,22.4
S023,C222,3,B-,2.7,24.1,39.6
S023,C233,3,A-,3.7,41.2,36.4
S023,C227,3,A,4.0,35.1,55.1
S023,C221,3,A,4.0,34.2,48.9
S023,C246,4,A-,3.7,42.3,34.4
S023,C226,4,F,0.0,5.9,5.7
S023,C248,4,A-,3.7,28.2,47.8
S023,C244,4,B+,3.3,43.7,29.4
S023,C202,5,B-,2.7,18.4,44.2
S023,C248,5,A-,3.7,36.9,43.0
S023,C231,5,B+,3.3,27.5,46.0
S023,C221,5,A,4.0,36.9,50.7
S023,C230,5,A,4.0,55.7,25.0
S023,C217,5,A,4.0,38.4,42.3
S023,C238,6,B,3.0,35.2,32.8
S023,C219,6,B+,3.3,33.0,40.2
S023,C213,6,C+,2.3,31.5,25.4
S023,C223,6,B+,3.3,33.3,38.0
S023,C207,6,F,0.0,2.6,19.8
S024,C222,1,B,3.0,28.8,39.2
S024,C246,1,B,3.0,45.0,24.6
S024,C231,1,A,4.0,24.0,69.7
S024,C223,1,A-,3.7,38.3,38.8
S024,C238,1,A,4.0,50.2,32.6
S024,C236,1,A-,3.7,20.4,56.9
S024,C216,2,A,4.0,25.0,56.3
S024,C235,2,F,0.0,10.1,14.5
S024,C203,2,A-,3.7,27.2,51.8
S024,C201,2,A,4.0,25.2,67.2
S024,C220,2,A,4.0,12.5,75.5
S024,C247,3,B+,3.3,30.5,41.5
S024,C207,3,A-,3.7,22.0,56.8
S024,C246,3,A,4.0,57.9,39.4
S024,C241,3,A-,3.7,25.0,51.6
S024,C239,3,F,0.0,15.4,15.0
S024,C250,3,B+,3.3,31.2,41.3
S024,C214,4,C+,2.3,28.6,28.1
S024,C248,4,A,4.0,38.2,58.2
S024,C243,4,A,4.0,23.0,68.2
S024,C203,4,B+,3.3,26.6,47.7
S024,C216,4,B,3.0,27.0,40.4
S024,C215,4,A-,3.7,32.2,47.1
S025,C210,1,F,0.0,2.9,33.3
S025,C201,1,F,0.0,10.9,17.4
S025,C219,1,A,4.0,31.9,54.3
S025,C245,1,A,4.0,43.5,38.2
S025,C227,1,B-,2.7,21.0,39.8
S025,C223,1,F,0.0,13.7,17.9
S025,C212,2,A,4.0,27.5,54.0
S025,C215,2,F,0.0,15.3,19.5
S025,C205,2,A-,3.7,33.6,43.8
S025,C203,2,F,0.0,2.6,18.0
S025,C211,3,F,0.0,16.1,2.3
S025,C238,3,B+,3.3,37.9,34.4
S025,C219,3,A-,3.7,26.8,49.5
S025,C208,3,B+,3.3,33.7,40.8
S025,C210,3,A,4.0,24.5,72.0
S025,C246,3,A-,3.7,53.8,24.8
S025,C201,4,A-,3.7,18.5,60.6
S025,C207,4,A,4.0,30.9,51.6
S025,C246,4,B,3.0,34.5,31.7
S025,C234,4,B,3.0,36.9,28.7
S025,C222,4,A,4.0,32.9,54.9
S025,C230,5,A,4.0,58.1,27.3
S025,C250,5,A-,3.7,29.7,46.7
S025,C217,5,F,0.0,2.8,1.5
S025,C223,5,B-,2.7,36.5,24.9
S025,C236,6,C+,2.3,16.3,41.5
S025,C205,6,B+,3.3,27.6,43.5
S025,C247,6,F,0.0,8.2,19.3
S025,C229,6,F,0.0,6.7,14.2
S026,C207,1,A,4.0,27.1,55.1
S026,C206,1,A,4.0,18.7,62.6
S026,C246,1,A,4.0,56.1,35.9
S026,C250,1,F,0.0,16.2,11.5
S026,C245,1,A,4.0,43.8,45.0
S026,C215,2,A-,3.7,35.0,43.8
S026,C211,2,F,0.0,17.6,14.5
S026,C242,2,F,0.0,5.5,26.8
S026,C244,2,A,4.0,45.8,46.1
S026,C213,2,A,4.0,46.2,35.7
S026,C234,2,B,3.0,36.4,30.0
S027,C248,1,A,4.0,39.4,43.3
S027,C211,1,F,0.0,16.0,5.9
S027,C216,1,A-,3.7,22.1,56.5
S027,C209,1,A-,3.7,23.9,51.8
S027,C225,2,B+,3.3,31.0,39.0
S027,C222,2,A,4.0,32.9,63.6
S027,C213,2,A,4.0,45.5,39.9
S027,C226,2,D,1.0,27.0,13.7
S027,C223,3,A,4.0,56.9,35.9
S027,C206,3,B+,3.3,22.6,51.4
S027,C210,3,B-,2.7,16.0,44.9
S027,C221,3,F,0.0,9.9,13.3
S027,C218,4,B,3.0,28.4,38.8
S027,C226,4,F,0.0,15.0,6.2
S027,C241,4,D,1.0,11.7,32.1
S027,C204,4,A-,3.7,41.0,36.5
S028,C236,1,F,0.0,4.9,7.2
S028,C211,1,A,4.0,50.3,30.1
S028,C250,1,F,0.0,14.9,15.5
S028,C238,1,F,0.0,14.5,5.7
S028,C207,1,A-,3.7,30.2,47.7
S028,C248,1,B+,3.3,30.6,41.9
S028,C241,2,F,0.0,7.5,29.2
S028,C226,2,F,0.0,18.0,17.2
S028,C249,2,A,4.0,55.5,31.9
S028,C248,2,A,4.0,25.2,59.9
S028,C201,3,A,4.0,28.7,66.0
S028,C241,3,A-,3.7,24.6,53.0
S028,C217,3,A,4.0,54.6,40.8
S028,C216,3,A,4.0,25.0,59.1
S028,C226,4,F,0.0,6.7,10.7
S028,C249,4,B+,3.3,40.8,32.4
S028,C213,4,B,3.0,39.6,29.8
S028,C247,4,A,4.0,30.9,67.7
S028,C220,4,A,4.0,17.0,72.6
S028,C201,4,B,3.0,27.5,39.3
S029,C216,1,F,0.0,1.3,14.4
S029,C250,1,A-,3.7,41.9,37.6
S029,C207,1,B+,3.3,31.4,40.2
S029,C233,1,B-,2.7,27.3,35.5
S029,C237,2,B+,3.3,25.4,47.1
S029,C236,2,B-,2.7,16.7,47.7
S029,C212,2,F,0.0,9.4,18.0
S029,C207,2,A-,3.7,24.9,51.7
S029,C245,3,A,4.0,39.3,46.0
S029,C226,3,A,4.0,49.1,38.1
S029,C246,3,A,4.0,42.2,38.1
S029,C202,3,B-,2.7,16.0,45.7
